id,title,price,categoryId,color
1,Three Men and a Cradle (3 hommes et un couffin),886,28,Crimson
2,Kart Racer,870,72,Puce
3,Easy,397,45,Aquamarine
4,The Orkly Kid,32,100,Orange
5,"Phantom of the Opera, The",816,74,Blue
6,Run Silent Run Deep,607,3,Green
7,Swimming to Cambodia,53,25,Mauv
8,"Walk Softly, Stranger",967,17,Aquamarine
9,Bugs Bunny's Looney Christmas Tales,942,60,Teal
10,Love Steaks,974,84,Turquoise
11,I Hate Christian Laettner,608,39,Maroon
12,Kenji Mizoguchi: The Life of a Film Director (Aru eiga-kantoku no shogai),898,1,Goldenrod
13,Hot Tub Time Machine 2,880,16,Purple
14,DOA: Dead or Alive,261,7,Blue
15,The Burglar,441,22,Green
16,Day and Night (Le jour et la nuit),46,25,Maroon
17,"Coast Guard, The (Hae anseon)",179,57,Green
18,"See No Evil, Hear No Evil",865,25,Crimson
19,Dance Me Outside,577,21,Red
20,Raging Bull,230,17,Blue
21,Dillinger Is Dead (Dillinger è morto),586,56,Indigo
22,Ambush (Rukajärven tie),770,30,Blue
23,Extraction,962,3,Orange
24,"Eagle, The",117,36,Teal
25,"Change-Up, The",176,41,Yellow
26,Insanitarium,93,59,Goldenrod
27,Winterhawk,531,57,Maroon
28,"Fabulous Baker Boys, The",277,70,Orange
29,Avenger ,78,88,Crimson
30,Boccaccio '70,849,54,Yellow
31,Elephant White,707,76,Red
32,Miracles,632,16,Pink
33,Belle toujours,96,80,Purple
34,"Clockmaker of St. Paul, The (L'horloger de Saint-Paul)",613,31,Turquoise
35,Sunday,538,99,Red
36,The Red Inn,640,90,Pink
37,Mummies: Secrets of the Pharaohs (a.k.a. Mummies 3D),93,30,Red
38,Still Walking (Aruitemo aruitemo),411,46,Indigo
39,The 21 Carat Snatch,772,29,Red
40,"Far Off Place, A",984,87,Mauv
41,Something Like Happiness (Stestí),482,1,Fuscia
42,Elle: A Modern Cinderella Tale,394,97,Fuscia
43,Bulletproof Monk,149,25,Green
44,An Alligator Named Daisy,405,11,Violet
45,Cronos,253,24,Green
46,Say It Isn't So,776,94,Purple
47,Desperate Journey,717,75,Yellow
48,Kidnapping Mr. Heineken,526,90,Aquamarine
49,"Revenge of Frankenstein, The",771,100,Purple
50,Dr. Akagi (Kanzo sensei),937,85,Goldenrod
51,Daughters of Darkness (Les lèvres rouges),485,99,Turquoise
52,Summer of '62 (Cartouches gauloises),371,91,Indigo
53,Snowbeast,266,72,Violet
54,Attack of the Giant Leeches,550,18,Yellow
55,"Big Squeeze, The",635,9,Orange
56,Shanks,178,91,Orange
57,Back to School,843,93,Indigo
58,Kids in the Hall: Brain Candy,345,55,Blue
59,Blue Collar Comedy Tour: The Movie,947,59,Red
60,Colors,95,84,Yellow
61,Full Moon in Blue Water,344,56,Maroon
62,Sut (Milk),535,45,Orange
63,Delicacy (La délicatesse),801,61,Pink
64,Hello I Must Be Going,720,96,Maroon
65,Dancemaker,374,77,Mauv
